wptname,region,airways,direction,chapter,page,alternates,aircraft,chart,ACL,updatedAt,createdAt,objectId
REGET,PAKISTAN,"G325, J215, J133",OUTBOUND,10.1,58-72,"OPPS, OPRN",Widebody,,,,,
PS,PAKISTAN,G325,OUTBOUND,10.1,60-72,"OPPS, OPRN",Widebody,,,,,
GT,PAKISTAN,G325,OUTBOUND,10.1,60-72,"OPPS, OPRN",Widebody,,,,,
PURPA,PAKISTAN,G325,OUTBOUND,10.1,60-72,"OPPS, OPRN",Widebody,,,,,
PURPA,PAKISTAN,"G325, B215",OUTBOUND,10.1,62-72,"ZWSH, ZWTN",Widebody,,,,,
SCH,PAKISTAN,"G325, B215",OUTBOUND,10.1,62-72,"ZWSH, ZWTN",Widebody,,,,,
BND,PAKISTAN,"A453, J177",OUTBOUND,10.1,64-72,"OIZH, OMAA, OMDB",Widebody,,,,,
NABOX,PAKISTAN,"A453, J177",OUTBOUND,10.1,64-72,"OIZH, OMAA, OMDB",Widebody,,,,,
ZDN,PAKISTAN,"A453, J177",OUTBOUND,10.1,64-72,"OIZH, OMAA, OMDB",Widebody,,,,,
LAKRA,PAKISTAN,"A453, J177",OUTBOUND,10.1,64-72,"OIZH, OMAA, OMDB",Widebody,,,,,
KAREM,PAKISTAN,"J145, J165",INBOUND,10.1,65-72,"OPPS, OPRN",Widebody,,,,,
REGET,PAKISTAN,"J145, J165",INBOUND,10.1,65-72,"OPPS, OPRN",Widebody,,,,,
KAREM,PAKISTAN,"J133, G325, J215",INBOUND,10.1,66-72,OPKC,Widebody,,,,,
PG,PAKISTAN,"J133, G325, J215",INBOUND,10.1,66-72,OPKC,Widebody,,,,,
SCH,PAKISTAN/CHINA,B215,INBOUND,10.1,68-72,"ZWSH, ZWTN",Widebody,,,,,
PURPA,PAKISTAN/CHINA,B215,INBOUND,10.1,68-72,"ZWSH, ZWTN",Widebody,,,,,
GT,PAKISTAN/CHINA,B215,INBOUND,10.1,68-72,"ZWSH, ZWTN",Widebody,,,,,
PURPA,PAKISTAN,G325,INBOUND,10.1,70-72,"OPPS, OPRN",Widebody,,,,,
GT,PAKISTAN,G325,INBOUND,10.1,70-72,"OPPS, OPRN",Widebody,,,,,
PS,PAKISTAN,G325,INBOUND,10.1,70-72,"OPPS, OPRN",Widebody,,,,,
NARAN,NEPAL/INDIA,L626,INBOUND,10.1,72-72,"VILK, VIPD",Widebody,,,,,
PALPA,NEPAL/INDIA,L626,INBOUND,10.1,72-72,"VILK, VIPD",Widebody,,,,,
SUKET,NEPAL/INDIA,L626,INBOUND,10.1,72-72,"VILK, VIPD",Widebody,,,,,
HW,NEPAL/INDIA,L626,INBOUND,10.1,72-72,"VILK, VIPD",Widebody,,,,,
BAYIR,TURKEY,"UG81, UL124",OUTBOUND,10.2,5-62,"LTCC, LTCS",Widebody,10.133-72.png,,,,
KESIR,TURKEY,"UL852, UW71",OUTBOUND,10.2,6-62,"LTCE, LTCG",Widebody,10.25-62.png,,,,
ULGAN,TURKEY,UL852,OUTBOUND,10.2,6-62,"LTCE, LTCG",Widebody,10.26-62.png,,,,
BAVTI,TURKEY,"UW71, UL851",OUTBOUND,10.2,6-62,"LTCE ,LTCG",Widebody,10.25-62.png,,,,
DORUK,TURKEY,"UW71, UL851",OUTBOUND,10.2,6-62,"LTCE, LTCG",Widebody,10.29-62.png,,,,
VAN,TURKEY,"UG81, UL124",OUTBOUND,10.2,5-62,"LTCC, LTCS",Widebody,,,,,
VAN,TURKEY,"UL851, UA4, UL615",OUTBOUND,10.2,6-62,"LTCE, LTCG",Widebody,,,,,
ERZ,TURKEY,"UW71, UL851",OUTBOUND,10.2,6-62,"LTCE, LTCG",Widebody,,,,,
TBN,TURKEY,"UW71, UL851",OUTBOUND,10.2,6-62,"LTCE ,LTCG",Widebody,,,,,
EZS,TURKEY,"UG8, UL614",OUTBOUND,10.2,7-62,LTAC,Widebody,,,,,
GEM,TURKEY,"UG8, UL614",OUTBOUND,10.2,7-62,LTAC,Widebody,,,,,
BUK,TURKEY,"UG8, UL614",OUTBOUND,10.2,7-62,LTAC,Widebody,,,,,
EZS,TURKEY,"W710, UW710",OUTBOUND,10.2,8-62,"LTAC, LTFH, LTCC",Widebody,,,,,
SIV,TURKEY,"W710, UW710",OUTBOUND,10.2,8-62,"LTAC, LTFH, LTCC",Widebody,,,,,
BUK,TURKEY,"W710, UW710",OUTBOUND,10.2,8-62,"LTAC, LTFH, LTCC",Widebody,,,,,
VAN,TURKEY,UL852,OUTBOUND,10.2,9-62,"LTCE, LTCG",Widebody,,,,,
KESIR,TURKEY,UL852,OUTBOUND,10.2,9-62,"LTCE, LTCG",Widebody,,,,,
ULGAN,TURKEY,UL852,OUTBOUND,10.2,9-62,"LTCE, LTCG",Widebody,,,,,
ULGAN,TURKEY,"L852, UL852",OUTBOUND,10.2,10-62,"LTCG, LTFH, LTAC",Widebody,,,,,
BALON,TURKEY,"L852, UL852",OUTBOUND,10.2,10-62,"LTCG, LTFH, LTAC",Widebody,,,,,
CRM,TURKEY,"L852, UL852",OUTBOUND,10.2,10-62,"LTCG, LTFH, LTAC",Widebody,,,,,
SEHER,TURKEY,"L852, UL852",OUTBOUND,10.2,10-62,"LTCG, LTFH, LTAC",Widebody,,,,,
ERZ,TURKEY,UW704,OUTBOUND,10.2,11-62,LTCG,Widebody,,,,,
SONAD,TURKEY,UW704,OUTBOUND,10.2,11-62,LTCG,Widebody,,,,,
DASIS,TURKEY,"UR660, R660",OUTBOUND,10.2,11-62,"LTCE, LTCG",Widebody,,,,,
ERZ,TURKEY,"UR660, R660",OUTBOUND,10.2,11-62,"LTCE, LTCG",Widebody,,,,,
ERH,TURKEY,"W73, UW73",OUTBOUND,10.2,13-62,"LTAC, LTFH",Widebody,,,,,
GEM,TURKEY,"W73, UW73",OUTBOUND,10.2,13-62,"LTAC, LTFH",Widebody,,,,,
KABAN,TURKEY,"UR21, UM860",OUTBOUND,10.2,14-62,LTCC,Widebody,,,,,
RENGI,TURKEY,"UR21, UM860",OUTBOUND,10.2,14-62,LTCC,Widebody,,,,,
TALIL,TURKEY,"UR21, UM860",OUTBOUND,10.2,14-62,LTCC,Widebody,,,,,
TALIL,TURKEY,UM860,OUTBOUND,10.2,15-62,"LTCG, LTFH, LTAC",Widebody,,,,,
EBEDI,TURKEY,UM860,OUTBOUND,10.2,15-62,"LTCG, LTFH, LTAC",Widebody,,,,,
ODALI,TURKEY,UM860,OUTBOUND,10.2,15-62,"LTCG, LTFH, LTAC",Widebody,,,,,
CRM,TURKEY,UM860,OUTBOUND,10.2,15-62,"LTCG, LTFH, LTAC",Widebody,,,,,
KABAN,TURKEY,UT334,OUTBOUND,10.2,16-62,LTCC,Widebody,,,,,
ULSAB,TURKEY,UT334,OUTBOUND,10.2,16-62,LTCC,Widebody,,,,,
NULRU,TURKEY,UT334,OUTBOUND,10.2,16-62,LTCC,Widebody,,,,,
KONUK,TURKEY,"UW88, W88",OUTBOUND,10.2,17-62,"LTCE, LTCG, LTFH",Widebody,,,,,
TBN,TURKEY,"UW88, W88",OUTBOUND,10.2,17-62,"LTCE, LTCG, LTFH",Widebody,,,,,
NULRU,TURKEY,UT334,OUTBOUND,10.2,18-62,"LTCG, LTAC, LTFH",Widebody,,,,,
ELNEM,TURKEY,UT334,OUTBOUND,10.2,18-62,"LTCG, LTAC, LTFH",Widebody,,,,,
ASVOD,TURKEY,UT334,OUTBOUND,10.2,18-62,"LTCG, LTAC, LTFH",Widebody,,,,,
ORVOR,TURKEY,UT334,OUTBOUND,10.2,18-62,"LTCG, LTAC, LTFH",Widebody,,,,,
KABAN,TURKEY,"UT334, UG8, UL614",OUTBOUND,10.2,19-62,"LTCC, LTAF",Widebody,,,,,
TAMER,TURKEY,"UT334, UG8, UL614",OUTBOUND,10.2,19-62,"LTCC, LTAF",Widebody,,,,,
EZS,TURKEY,"UT334, UG8, UL614",OUTBOUND,10.2,19-62,"LTCC, LTAF",Widebody,,,,,
DYB,TURKEY,"UP975, UW104, W104",OUTBOUND,10.2,20-62,LTCC,Widebody,,,,,
EZS,TURKEY,"UP975, UW104, W104",OUTBOUND,10.2,20-62,LTCC,Widebody,,,,,
DYB,TURKEY,"W73, UW73",OUTBOUND,10.2,21-62,LTCC,Widebody,,,,,
ERH,TURKEY,"W73, UW73",OUTBOUND,10.2,21-62,LTCC,Widebody,,,,,
GAZ,TURKEY,"UB36, UM854",OUTBOUND,10.2,22-62,LTAC,Widebody,,,,,
GEM,TURKEY,"UB36, UM854",OUTBOUND,10.2,22-62,LTAC,Widebody,,,,,
GAZ,TURKEY,UL602,INBOUND,10.2,23-62,"LTAF, LTAC",Widebody,,,,,
SULAK,TURKEY,UL602,INBOUND,10.2,23-62,"LTAF, LTAC",Widebody,,,,,
BELSU,TURKEY,UL602,INBOUND,10.2,23-62,"LTAF, LTAC",Widebody,,,,,
BUK,TURKEY,UL602,INBOUND,10.2,23-62,"LTAF, LTAC",Widebody,,,,,
GAZ,TURKEY,"UA17, UL605",INBOUND,10.2,24-62,"LTAF, LTAC",Widebody,,,,,
ERHAN,TURKEY,"UA17, UL605",INBOUND,10.2,24-62,"LTAF, LTAC",Widebody,,,,,
BELSU,TURKEY,"UA17, UL605",INBOUND,10.2,24-62,"LTAF, LTAC",Widebody,,,,,
BAG,TURKEY,"UA17, UL605",INBOUND,10.2,24-62,"LTAF, LTAC",Widebody,,,,,
EZS,TURKEY,"UG8, UL614",INBOUND,10.2,25-62,LTAC,Widebody,,,,,
GEM,TURKEY,"UG8, UL614",INBOUND,10.2,25-62,LTAC,Widebody,,,,,
BUK,TURKEY,"UG8, UL614",INBOUND,10.2,25-62,LTAC,Widebody,,,,,
ERN,TURKEY,"T31, UT31",INBOUND,10.2,26-62,"LTCE, LTCG",Widebody,,,,,
DASIS,TURKEY,"T31, UT31",INBOUND,10.2,26-62,"LTCE, LTCG",Widebody,,,,,
SIV,TURKEY,"UT31, T31",INBOUND,10.2,27-62,"LTAC, LTFH, LTCG, LTCE",Widebody,,,,,
ERN,TURKEY,"UT31, T31",INBOUND,10.2,27-62,"LTAC, LTFH, LTCG, LTCE",Widebody,,,,,
KONUK,TURKEY,UM860,INBOUND,10.2,28-62,"LTCE, LTCG",Widebody,,,,,
TALIL,TURKEY,UM860,INBOUND,10.2,28-62,"LTCE, LTCG",Widebody,,,,,
RENGI,TURKEY,UM860,INBOUND,10.2,28-62,"LTCE, LTCG",Widebody,,,,,
KONUK,TURKEY,UM860,INBOUND,10.2,29-62,"LTCG, LTFH, LTCE",Widebody,,,,,
ODALI,TURKEY,UM860,INBOUND,10.2,29-62,"LTCG, LTFH, LTCE",Widebody,,,,,
CRM,TURKEY,UM860,INBOUND,10.2,29-62,"LTCG, LTFH, LTCE",Widebody,,,,,
GULRA,TURKEY,UM688,INBOUND,10.2,30-62,"LTCG, LTFH, LTAC, LTCE",Widebody,,,,,
CRM,TURKEY,UM688,INBOUND,10.2,30-62,"LTCG, LTFH, LTAC, LTCE",Widebody,,,,,
INTAB,TURKEY,UM688,INBOUND,10.2,30-62,"LTCG, LTFH, LTAC, LTCE",Widebody,,,,,
SIV,TURKEY,"W710, UW710",INBOUND,10.2,31-62,"LTAC, LTFH, LTCC",Widebody,,,,,
EZS,TURKEY,"W710, UW710",INBOUND,10.2,31-62,"LTAC, LTFH, LTCC",Widebody,,,,,
RENGI,TURKEY,UM860,INBOUND,10.2,32-62,"LTCC, LTAF",Widebody,,,,,
SRT,TURKEY,UM860,INBOUND,10.2,32-62,"LTCC, LTAF",Widebody,,,,,
GEM,TURKEY,"UG8, UL614",INBOUND,10.2,33-62,LTAC,Widebody,,,,,
EZS,TURKEY,"UG8, UL614",INBOUND,10.2,33-62,LTAC,Widebody,,,,,
INTAB,TURKEY,UM688,INBOUND,10.2,34-62,"LTCG, LTCE",Widebody,,,,,
ERN,TURKEY,UM688,INBOUND,10.2,34-62,"LTCG, LTCE",Widebody,,,,,
EVSAS,TURKEY,UM688,INBOUND,10.2,34-62,"LTCG, LTCE",Widebody,,,,,
BAYIR,TURKEY,UM688,INBOUND,10.2,34-62,"LTCG, LTCE",Widebody,,,,,
BAYIR,TURKEY,UM688,INBOUND,10.2,35-62,LTCC,Widebody,,,,,
ULTED,TURKEY,UM688,INBOUND,10.2,35-62,LTCC,Widebody,,,,,
GEM,TURKEY,"W73, UW73",INBOUND,10.2,36-62,"LTAC, LTFH",Widebody,,,,,
ERH,TURKEY,"W73, UW73",INBOUND,10.2,36-62,"LTAC, LTFH",Widebody,,,,,
EZS,TURKEY,"UG8, UL614",INBOUND,10.2,37-62,"LTCC, LTAF",Widebody,,,,,
SRT,TURKEY,"UG8, UL614",INBOUND,10.2,37-62,"LTCC, LTAF",Widebody,,,,,
SRT,TURKEY,UG8,INBOUND,10.2,38-62,"LTCC, LTAF",Widebody,,,,,
NARLI,TURKEY,UG8,INBOUND,10.2,38-62,"LTCC, LTAF",Widebody,,,,,
DYB,TURKEY,UG8,INBOUND,10.2,38-62,"LTCC, LTAF",Widebody,,,,,
OTKEP,TURKEY,UG8,INBOUND,10.2,38-62,"LTCC, LTAF",Widebody,,,,,
EZS,TURKEY,"UW104, W104",INBOUND,10.2,39-62,LTCC,Widebody,,,,,
DYB,TURKEY,"UW104, W104",INBOUND,10.2,39-62,LTCC,Widebody,,,,,
KONUK,TURKEY,"UW88, W88",INBOUND,10.2,40-62,"LTCG, LTFH, LTCE",Widebody,,,,,
TBN,TURKEY,"UW88, W88",INBOUND,10.2,40-62,"LTCG, LTFH, LTCE",Widebody,,,,,
ERH,TURKEY,"UW73, W73",INBOUND,10.2,41-62,LTCC,Widebody,,,,,
DYB,TURKEY,"UW73, W73",INBOUND,10.2,41-62,LTCC,Widebody,,,,,
EZS,TURKEY,"UT36, T36",INBOUND,10.2,42-62,LTCC,Widebody,,,,,
RENGI,TURKEY,"UT36, T36",INBOUND,10.2,42-62,LTCC,Widebody,,,,,
RENGI,TURKEY,"UT36, T36",INBOUND,10.2,43-62,"LTCC, LTAF",Widebody,,,,,
ULKEM,TURKEY,"UT36, T36",INBOUND,10.2,43-62,"LTCC, LTAF",Widebody,,,,,
ULKEM,TURKEY,UT36,INBOUND,10.2,44-62,OITT,Widebody,,,,,
UMH,TURKEY,UT36,INBOUND,10.2,44-62,OITT,Widebody,,,,,
NARLI,TURKEY/IRAN,"UG8, G8, G206",INBOUND,10.2,45-62,OITT,Widebody,,,,,
UMH,TURKEY/IRAN,"UG8, G8, G206",INBOUND,10.2,45-62,OITT,Widebody,,,,,
TBN,TURKEY,"UP146, P146",INBOUND,10.2,46-62,"LTCG, LTCE",Widebody,,,,,
YAVUZ,TURKEY,"UP146, P146",INBOUND,10.2,46-62,"LTCG, LTCE",Widebody,,,,,
ARI,TURKEY,"UP146, P146",INBOUND,10.2,46-62,"LTCG, LTCE",Widebody,,,,,
TBN,TURKEY,"UW71, W71, UL851, L851",INBOUND,10.2,47-62,"LTCG, LTCE",Widebody,,,,,
ERZ,TURKEY,"UW71, W71, UL851, L851",INBOUND,10.2,47-62,"LTCG, LTCE",Widebody,,,,,
ERZ,TURKEY,"UW94, W94",INBOUND,10.2,48-62,"LTCE, LTCG",Widebody,,,,,
ARI,TURKEY,"UW94, W94",INBOUND,10.2,48-62,"LTCE, LTCG",Widebody,,,,,
BAG,TURKEY,"UA17, UL605",INBOUND,10.2,49-62,"LTAC, LTAF",Widebody,,,,,
ERHAN,TURKEY,"UA17, UL605",INBOUND,10.2,49-62,"LTAC, LTAF",Widebody,,,,,
GAZ,TURKEY,"UA17, UL605",INBOUND,10.2,49-62,"LTAC, LTAF",Widebody,,,,,
BAG,TURKEY,"UL601, UW75",INBOUND,10.2,50-62,"LTAC, LTAF",Widebody,,,,,
SELVI,TURKEY,"UL601, UW75",INBOUND,10.2,50-62,"LTAC, LTAF",Widebody,,,,,
ADA,TURKEY,"UL601, UW75",INBOUND,10.2,50-62,"LTAC, LTAF",Widebody,,,,,
SRT,TURKEY/IRAQ,"UG8, UM688",INBOUND,10.2,51-62,"LTCC, ORER, ORSU",Widebody,,,,,
OTKEP,TURKEY/IRAQ,"UG8, UM688",INBOUND,10.2,51-62,"LTCC, ORER, ORSU",Widebody,,,,,
NINVA,TURKEY/IRAQ,"UG8, UM688",INBOUND,10.2,51-62,"LTCC, ORER, ORSU",Widebody,,,,,
ROXOP,TURKEY/IRAQ,"UG8, UM688",INBOUND,10.2,51-62,"LTCC, ORER, ORSU",Widebody,,,,,
ULTED,TURKEY/IRAQ,"M688, UM688",INBOUND,10.2,52-62,"LTCC, ORER, ORSU",Widebody,,,,,
OTKEP,TURKEY/IRAQ,"M688, UM688",INBOUND,10.2,52-62,"LTCC, ORER, ORSU",Widebody,,,,,
NINVA,TURKEY/IRAQ,"M688, UM688",INBOUND,10.2,52-62,"LTCC, ORER, ORSU",Widebody,,,,,
ROXOP,TURKEY/IRAQ,"M688, UM688",INBOUND,10.2,52-62,"LTCC, ORER, ORSU",Widebody,,,,,
ARI,TURKEY/IRAN,"UT30, T30, UL333, UR660",INBOUND,10.2,53-62,OITT,Widebody,,,,,
TBZ,TURKEY/IRAN,"UT30, T30, UL333, UR660",INBOUND,10.2,53-62,OITT,Widebody,,,,,
BAG,TURKEY,"UG8, UL614",INBOUND,10.2,54-62,LTAC,Widebody,,,,,
GEM,TURKEY,"UG8, UL614",INBOUND,10.2,54-62,LTAC,Widebody,,,,,
EZS,TURKEY,"UG8, UL614",INBOUND,10.2,54-62,LTAC,Widebody,,,,,
NARLI,TURKEY/IRAN,"UG8, G8, G208",INBOUND,10.2,55-62,OITT,Widebody,,,,,
UMH,TURKEY/IRAN,"UG8, G8, G208",INBOUND,10.2,55-62,OITT,Widebody,,,,,
SRT,TURKEY,"UG8, G8",INBOUND,10.2,56-62,"LTCC, LTAF",Widebody,,,,,
OTKEP,TURKEY,"UG8, G8",INBOUND,10.2,56-62,"LTCC, LTAF",Widebody,,,,,
NARLI,TURKEY,"UG8, G8",INBOUND,10.2,56-62,"LTCC, LTAF",Widebody,,,,,
ALPS,EUROPEAN ALPS,,OUT/INBOUND,10.2,58-62,,Widebody,,,,,
040W,GREENLAND,,OUTBOUND,10.2,60-62,"BIKF, BGSF",Widebody,,,,,
024W,GREENLAND,,OUTBOUND,10.2,60-62,"BIKF, BGSF",Widebody,,,,,
050W,GREENLAND,,OUTBOUND,10.2,60-62,"BIKF, BGSF",Widebody,,,,,
040W,GREENLAND,,INBOUND,10.2,61-62,"BIKF, BGSF",Widebody,,,,,
024W,GREENLAND,,INBOUND,10.2,61-62,"BIKF, BGSF",Widebody,,,,,
050W,GREENLAND,,INBOUND,10.2,61-62,"BIKF, BGSF",Widebody,,,,,
